"DATE","day","month","year","wday","TMAX","TMIN","PRCP","SNOW","SNWD","thunder"
2017-01-01,1,"Jan",2017,"Sun",40,20,0,0,0,NA
2017-01-02,2,"Jan",2017,"Mon",41,22,0,0,0,NA
2017-01-03,3,"Jan",2017,"Tue",39,35,0.1,0,0,NA
2017-01-04,4,"Jan",2017,"Wed",39,9,0,0,0,NA
2017-01-05,5,"Jan",2017,"Thu",19,6,0,0,0,NA
2017-01-06,6,"Jan",2017,"Fri",15,0,0,0,0,NA
2017-01-07,7,"Jan",2017,"Sat",11,0,0,0,0,NA
2017-01-08,8,"Jan",2017,"Sun",18,2,0,0,0,NA
2017-01-09,9,"Jan",2017,"Mon",23,4,0,0,NA,NA
2017-01-10,10,"Jan",2017,"Tue",40,23,0.03,0,0,NA
2017-01-11,11,"Jan",2017,"Wed",51,24,0.21,0,0,NA
2017-01-12,12,"Jan",2017,"Thu",43,21,0,0,0,NA
2017-01-13,13,"Jan",2017,"Fri",25,15,0,0,0,NA
2017-01-14,14,"Jan",2017,"Sat",30,10,NA,0,0,NA
2017-01-15,15,"Jan",2017,"Sun",35,16,0,0,0,NA
2017-01-16,16,"Jan",2017,"Mon",35,17,0.11,0,0,NA
2017-01-17,17,"Jan",2017,"Tue",38,31,NA,0,0,NA
2017-01-18,18,"Jan",2017,"Wed",40,34,0.02,0,0,NA
2017-01-19,19,"Jan",2017,"Thu",37,30,0,0,0,NA
2017-01-20,20,"Jan",2017,"Fri",42,33,0.66,0,0,NA
2017-01-21,21,"Jan",2017,"Sat",49,36,0.01,0,0,NA
2017-01-22,22,"Jan",2017,"Sun",60,37,0.01,0,0,NA
2017-01-23,23,"Jan",2017,"Mon",45,36,0,0,0,NA
2017-01-24,24,"Jan",2017,"Tue",42,35,0,0,0,NA
2017-01-25,25,"Jan",2017,"Wed",37,35,0.06,0,0,NA
2017-01-26,26,"Jan",2017,"Thu",42,31,0.07,0,0,NA
2017-01-27,27,"Jan",2017,"Fri",34,26,0,0,0,NA
2017-01-28,28,"Jan",2017,"Sat",28,22,0,0,0,NA
2017-01-29,29,"Jan",2017,"Sun",30,26,0,0,0,NA
2017-01-30,30,"Jan",2017,"Mon",28,14,0,0,0,NA
2017-01-31,31,"Jan",2017,"Tue",38,18,0.03,0,0,NA
2017-02-01,1,"Feb",2017,"Wed",40,30,0.03,0,0,NA
2017-02-02,2,"Feb",2017,"Thu",38,13,0,0,0,NA
2017-02-03,3,"Feb",2017,"Fri",24,13,0,0,0,NA
2017-02-04,4,"Feb",2017,"Sat",29,14,0,0,0,NA
2017-02-05,5,"Feb",2017,"Sun",34,17,0,0,0,NA
2017-02-06,6,"Feb",2017,"Mon",40,21,0,0,0,NA
2017-02-07,7,"Feb",2017,"Tue",55,27,0.24,0,0,NA
2017-02-08,8,"Feb",2017,"Wed",46,27,0,0,0,NA
2017-02-09,9,"Feb",2017,"Thu",29,12,0,0,0,NA
2017-02-10,10,"Feb",2017,"Fri",26,14,0,0,0,NA
2017-02-11,11,"Feb",2017,"Sat",43,26,0,0,0,NA
2017-02-12,12,"Feb",2017,"Sun",46,34,0,0,0,NA
2017-02-13,13,"Feb",2017,"Mon",47,25,0,0,0,NA
2017-02-14,14,"Feb",2017,"Tue",46,30,0,0,0,NA
2017-02-15,15,"Feb",2017,"Wed",50,25,0,0,0,NA
2017-02-16,16,"Feb",2017,"Thu",35,27,0,0,0,NA
2017-02-17,17,"Feb",2017,"Fri",39,26,0,0,0,NA
2017-02-18,18,"Feb",2017,"Sat",66,37,0,0,0,NA
2017-02-19,19,"Feb",2017,"Sun",70,30,0,0,0,NA
2017-02-20,20,"Feb",2017,"Mon",63,35,0,0,0,NA
2017-02-21,21,"Feb",2017,"Tue",65,46,0.03,0,0,NA
2017-02-22,22,"Feb",2017,"Wed",67,46,0,0,0,NA
2017-02-23,23,"Feb",2017,"Thu",68,43,0,0,0,NA
2017-02-24,24,"Feb",2017,"Fri",50,36,0.37,0,0,1
2017-02-25,25,"Feb",2017,"Sat",38,22,0,0,0,NA
2017-02-26,26,"Feb",2017,"Sun",29,22,0,0,0,NA
2017-02-27,27,"Feb",2017,"Mon",48,26,0,0,0,NA
2017-02-28,28,"Feb",2017,"Tue",54,35,0.01,0,0,NA
2017-03-01,1,"Mar",2017,"Wed",59,38,0.91,0,0,1
2017-03-02,2,"Mar",2017,"Thu",40,27,0.05,0.2,0,NA
2017-03-03,3,"Mar",2017,"Fri",37,18,0,0,0,NA
2017-03-04,4,"Mar",2017,"Sat",33,23,0,0,0,NA
2017-03-05,5,"Mar",2017,"Sun",39,31,0,0,0,NA
2017-03-06,6,"Mar",2017,"Mon",58,37,0,0,0,NA
